PRODUCT,INNER,OUTER,DESCRIPTION,CARTONS ORDERED,PCS ORDERED,BARCODE,PIECEPRICE,TOTAL PRICE,STOCK STATUS
BL0075,12,72,19X5 6PK BLOOM PENCIL SET,1,72,5024418835486,0.58,41.76,Picked
WP1285,8,72,23X14 TAG STYLE SLOGAN SIGN,1,72,5024418816096,0.55,39.60,Picked
PH1952,0,12,49X51CM PLASTIC MULTIFRAME,1,12,5024418843856,5.75,69.00,Picked
OR0579,0,24,50CM HANGING WICKER HEART,1,24,5024418100164,1.95,46.80,05/03/2016
BL0062,12,72,12X12 DOUBLE WOOD PHRASE HEART,1,72,5024418824565,0.60,43.20,Picked
RR0009,12,24,185CM CLEAR LED BULB LIGHTS,1,24,5024418821526,2.00,48.00,Picked
RR0039,12,48,6ASS FLOWER / HERB PLAQUE,1,48,5024418829492,1.00,48.00,Picked
BG0030,12,96,BOTANICAL BFLY MEDIUM GIFT BAG,1,96,5024418692812,0.40,38.40,Picked
BG0031,12,72,BOTANICAL BFLY LARGE GIFT BAG,1,72,5024418692829,0.55,39.60,Picked
BG0070,12,36,65X55 BOTANICAL BFLY SHPER+ZIP,1,36,5024418720034,1.50,54.00,TBC
BG0069,12,48,45X45 BOTANICAL BFLY SHOPPER+ZIP,1,48,5024418720027,1.10,52.80,TBC
BW1504,1,4,560X390GRY WILLOW SHLLOW BKSTS,1,4,5024418571902,25.00,100.00,Picked
RR0132,24,144,WOODEN KEY RINGS WITH DISPLAY,1,144,5024418846543,0.40,57.60,Picked
RR0023,12,72,RUSTIC FLORAL GLOVES,1,72,5024418825760,0.50,36.00,Picked
OR0478,12,24,10X18CM SMALL WHITE WASH DUCK,1,24,5024418889175,1.88,45.12,Picked
GS0066,6,12,4X6 TRIPLE HANGING ROPE FRAME,1,12,5024418787075,3.95,47.40,Picked
SG0106,0,3,S/3 WOODEN CRATES WITH LIDS,1,3,5024418801467,15.95,47.85,Picked
GS0143,6,48,17X9CM JAR VASE,1,48,5024418100843,1.00,48.00,22/10/2015
SG0107,0,4,S/3 WOODEN CRATES,1,4,5024418801498,12.98,51.92,21/08/2015
GS0037,0,4,35X26 S3 WOODEN CRATES,1,4,5024418794448,14.95,59.80,TBC
GS0103,12,48,3ASS KITCHEN/COFFE WALL PLAQUE,1,48,5024418824763,1.00,48.00,Picked
KI5825,6,12,67X32 WEEK PLANNER CHALK BOARD,1,12,5024418682509,4.95,59.40,20/10/2015
RH0019,1,18,RUSTIC 3 FRAMES ON TRAY,1,18,5024418701415,3.50,63.00,14/08/2015
KI5870,1,6,S/3 WOODEN HEART TRAYS,1,6,5024418729877,7.95,47.70,TBC
RH0018,6,36,24X18 SML RUSTIC TRAY 2 ASTD,1,36,5024418701408,1.30,46.80,Picked
CD5531,12,36,GLASS T.LIGHT CANDLE,1,36,5024418109174,1.75,63.00,TBC
TB0048,12,96,19X23X9 2ASS TB MED GIFT BAG,1,96,5024418809432,0.40,38.40,TBC
TB0049,12,72,26X33X14CM TB 2 ASS LGE G/BAG,1,72,5024418809647,0.55,39.60,TBC
TB0050,1,6,353X273MM S/6 TB GIFT BOXES,1,6,5024418809746,9.50,57.00,TBC
CD5527,12,36,7X10CM 4 LAYERED CANDLE,1,36,5024418108931,1.95,70.20,TBC
MI0738,2,4,WOODEN HEART MIRROR FRAME,1,4,5024418916468,12.95,51.80,Picked
CD5291,12,36,PK12 - 9 HOUR WHT TEA LITES,2,72,5024418729440,1.00,72.00,Picked
CD5290,24,72,PK6 - 9 HOUR WHT TEA LITES,2,144,5024418729433,0.50,72.00,Picked
CD5441,12,48,TEALIGHT TONGS W/ 6 TEALIGHTS,1,48,5024418816379,1.00,48.00,Picked
CD5254,12,48,PK8 HOUSEHOLD WHITE CANDLES,1,48,5024418677031,1.10,52.80,Picked
CD5340,12,72,PK10 WHITE TEA LITE CANDLES,1,72,5024418738824,0.55,39.60,Picked
WD0067,1,6,S/6 WOODLAND GIFT BOXES,1,6,5024418758389,8.95,53.70,Picked
GB4753,12,96,19X23X9 SCATTER BFLY MDM GBAG,1,96,5024418869184,0.40,38.40,Picked
GB4752,12,72,26X33X14CM SCATTER BF LGE GBAG,1,72,5024418869146,0.55,39.60,Picked
GI5317,6,36,3.15M VINTAGE FLORAL FLAG BUNT,1,36,5024418541219,2.35,84.60,24/09/2015
PH2004,6,18,5X7 WOODEN PHOTOFRAME,1,18,5024418940302,1.50,27.00,Picked
PH1339A,1,12,97X34 12 PHOTO MULTI FRAME 2AS,1,12,5024418671534,5.00,60.00,Picked
PH1885,12,48,4X6 TAG STYLE PHOTO FRAME,1,48,5024418781622,1.00,48.00,Picked
BW1396A,1,6,TONAL S/4 WOVEN BSKTS W/HNDLES,1,6,5024418596899,13.25,79.50,Picked
TX0905,1,12,30CM CHICKEN DOORSTOP,1,12,5024418848165,3.95,47.40,Picked
GB4620,12,72,7X8 PK6 CREAM HEART GIFT TAGS,1,72,5024418647102,0.50,36.00,10/10/2015
CM0046,12,72,11X11CM STORAGE BUCKET,1,72,5024418890553,0.55,39.60,Picked
CM0050,1,12,21X50CM ROUND BUCKET,1,12,5024418890607,5.00,60.00,Picked
CM0049,1,16,30X14CM ROUND BUCKET,1,16,5024418890591,3.50,56.00,Picked
TX0913,0,12,20X15X23CM OWL DOORSTOP,1,12,5024418870999,3.95,47.40,Picked
TX0631,1,12,H25CM HEDGEHOG DOOR STOP,1,12,5024418594291,3.50,42.00,Picked
CD4135,12,72,MINI TABLE DECORATIONS 70G,1,72,5024418389347,0.55,39.60,04/11/2015
OR0237,12,48,HEART SCATTERS - SILVERCOLOUR,1,48,5024418751663,1.00,48.00,Picked
FR0143,12,36,20X15 PK/6 INCNSE STICKS&HLDR,1,36,5024418919841,1.50,54.00,Picked
FR0140,48,96,30X6 SCRIPT PK36 INCNSE&HLDR,1,96,5024418919407,0.55,52.80,Picked
FR0144,24,96,10X3   SCRIPT 15ML OIL,1,96,5024418919858,0.55,52.80,Picked
FR0141,48,96,17X6 SCRIPT INCENS CONES +HLDR,1,96,5024418919605,0.55,52.80,Picked
OR0486,12,48,8X22CM LED T-LIGHT + STONE SET,1,48,5024418890478,1.50,72.00,22/08/2015
TO0009,6,48,TONAL BUTTERFLY CURTAIN CLIP,1,48,5024418626336,0.90,43.20,Picked
